TIME,P,TAVG,PSGA,PSGB,LVPZ,TBLD,RM1,RBLK
350,151.5770874,308.8659668,78.04480743,78.04483032,49.03848648,41.74028778,0.0011,467.4328918
360,151.4784546,308.8109131,78.38614655,78.3861618,48.56578827,40.07334518,0.0011,480.7690735
370,151.3338776,308.7208862,78.59703827,78.59706116,48.02563477,40,0.0011,494.1052551
380,151.1014099,308.578125,78.60404968,78.60406494,47.33330536,40,0.0011,507.4414368
390,150.8692322,308.4362793,78.51222992,78.51225281,46.64061737,40,0.0011,520.7775879
400,150.6230316,308.2847595,78.37521362,78.37523651,45.92837524,40,0.0011,534.1137695
410,150.3643341,308.1265564,78.21270752,78.21273041,45.19888306,40,0.0011,547.4499512
420,150.0744629,307.9671936,78.03904724,78.03907013,44.47301865,40,0.0011,560.7861328
430,149.7717285,307.8053589,77.86372375,77.86375427,43.74710846,40,0.0011,574.1223145
440,149.4689026,307.6438599,77.68812561,77.68815613,43.02427292,40,0.0011,587.4584961
450,149.1634674,307.4810181,77.51222229,77.51225281,42.30115891,40,0.0011,600.7946777
460,148.8552704,307.3170166,77.33547974,77.33551025,41.57743835,40,0.0011,614.1308594
470,148.5621338,307.1336365,77.15663147,77.15665436,40.86998749,40,0.0011,627.467041
480,148.4637451,306.9476013,76.95404816,76.95407104,40.41615677,40,0.0011,640.8032227
490,148.4499664,306.8009644,76.77428436,76.77430725,40.08815765,40,0.0011,654.1394043
500,148.3940735,306.622345,76.59655762,76.59651184,39.70513153,40,0.0011,667.4755859
510,148.3612213,306.4529114,76.41214752,76.412117,39.34841919,40,0.0011,680.8117676
520,148.3490143,306.2888794,76.23265076,76.23265076,39.02121353,40,0.0011,694.1479492
530,148.3339386,306.1173706,76.05230713,76.05233765,38.69020462,40,0.0011,707.4841309
540,148.3303528,305.9473267,75.87030792,75.87026215,38.37330246,40,0.0011,720.8203125
550,148.3614502,305.8023071,75.91280365,75.91278839,38.08148956,40,0.0011,734.1564941
560,148.8180542,305.932251,76.49757385,76.49757385,38.39664459,40,0.0011,747.4926758
570,148.8077393,305.7455139,76.70458984,76.70461273,38.0933876,40,0.0011,760.8288574
580,148.8298187,305.5850525,76.66693878,76.66698456,37.79974747,40,0.0011,774.1650391
590,148.9137268,305.4515076,76.56530762,76.56536102,37.59764481,40,0.0011,787.5012207
600,148.9349823,305.2768555,76.42079926,76.42086029,37.31523132,40,0.0011,800.8374023
610,148.9692688,305.1066284,76.24920654,76.24922943,37.04530716,40,0.0011,814.173584
620,149.0229645,304.9425964,76.07185364,76.07189941,36.80108643,40,0.0011,827.5097656
630,149.0739288,304.7715454,75.89015198,75.89019775,36.55363083,40,0.0011,840.8459473
640,149.1316071,304.5987549,75.70346832,75.70352173,36.31341171,40,0.0011,854.1821289
650,149.2014465,304.4274902,75.51521301,75.51527405,36.0882225,40,0.0011,867.5183105
660,149.2771301,304.2539673,75.32691193,75.32694244,35.87017822,40,0.0011,880.8544922
670,149.3608398,304.0800171,75.13677979,75.13682556,35.66157913,40,0.0011,894.1906738
680,149.4519196,303.9051819,74.94550323,74.94554901,35.46175385,40,0.0011,907.5268555
690,149.5491333,303.7292175,74.75312042,74.75318146,35.26919556,40,0.0011,920.8630371
700,149.6507874,303.5524902,74.56032562,74.56035614,35.08189774,40,0.0011,934.1992188
710,149.7567139,303.375061,74.3669281,74.36697388,34.8992691,40,0.0011,947.5354004
720,149.867981,303.1973877,74.17298889,74.1730423,34.72291565,40,0.0011,960.871582
730,149.9828949,303.0189819,73.97858429,73.97864532,34.55078506,40,0.0011,974.2077637
740,150.1010895,302.8392944,73.78320313,73.78326416,34.382164,40,0.0011,987.5439453
750,150.2226257,302.6586609,73.58785248,73.58789063,34.21730042,40,0.0011,1000.880127
760,150.3414917,302.4779968,73.39146423,73.39150238,34.05869675,40,0.0011,1014.216309
770,150.4505157,302.2962646,73.19400024,73.19404602,33.90801239,40,0.0011,1027.552124
